LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID2740,2740,1,104.0,61.06891025641026,422.04967948717945,0.0,0.0,0,5.753627391751594,1,,5709.867924528302,5694.0,4538.0,6819.0,605246.0,430.499954658959,4877.132075471698,4811.0,3311.0,6060.0,516976.0,573.4884575659441,0.008368626804414808,0.22014956126135912,0.13399815301214527,2.009815984635662,-0.04877839599345773,-0.030202299060050647,6.267755571234995,5.53298135104113,-0.5530500803115986,1.1327989692312272,104.00000000000003,38.373825194236886,0.8875095145192935,0.9674418604651167,3.7628631437810056
ID2644,2644,1,58.0,62.33183183183183,408.9144144144144,0.0,1.0,1,4.2031177336829835,1,,5616.1578947368425,5610.0,4771.0,6745.0,320121.0,389.9421564005946,4949.526315789473,4909.0,3623.0,6198.0,282123.0,534.6461481759674,0.0066114970008940175,0.18919385860942448,0.07802372199583472,1.340063990311261,-0.05879089731258328,0.010125989571503154,5.940701112353005,3.1459695273241794,1.3683715507288938,1.8883530373563087,55.5,30.015339721864635,0.7741343184775326,0.9487179487179488,4.028995400727096
ID2681,2681,2,315.0,511.89021796916535,56.73976608187135,0.0,4.0,4,9.989501955483986,1,,5963.476190476191,5955.0,4932.0,7039.0,1878495.0,380.2466203212017,6602.0317460317465,6569.0,4797.0,8077.0,2079640.0,570.3944653682553,0.003642334378628309,0.11383215657523474,0.14110023549401055,2.86243902847111,-0.38912766187809417,0.06365365715640085,13.483959675466066,7.7337977098772015,0.13439889724891851,1.7435107797356864,313.5,72.46564215293192,0.7502104668533306,0.9500000000000002,4.092732615697512
ID2699,2699,2,1077.0,506.2412727834415,65.05977757182576,0.0,3.0,3,18.532575838029377,1,,5910.617592592593,5911.0,4300.0,7466.0,6383467.0,358.3293940615377,7975.775925925926,7432.0,4568.0,13535.0,8613838.0,2105.604038904435,0.007393827351919692,0.24213102616252194,0.32938478717087066,1.8770639437662981,-0.6252799842559996,6.041798174281002,45.727616686534404,9.74058120253384,1.6911567249876145,4.694547043521302,1079.0000000000002,229.79481575426203,0.25677388700334847,0.7011046133853153,6.995673053488302
ID2695,2695,4,3616.0,386.3368980267697,334.6412538521687,0.0,7.0,7,33.96168241690869,1,,5974.718309859155,5966.0,4689.0,7735.0,2.1634455E7,416.4219023289267,19677.24192212096,15636.0,8791.0,59251.0,7.1251293E7,9944.318269788519,0.01149224227663716,0.32602888830276433,0.5372206339859581,1.3830430064350667,0.18265629726277038,0.6612089962637088,48.254701923789305,23.99456704432114,1.0628541468715846,2.011067831924472,3623.4999999999977,245.29397805391693,0.7567707831342544,0.9776069067853764,4.074954403793309
ID2669,2669,4,3390.0,362.08269532783663,341.5343050647821,0.0,5.0,5,32.87826597435079,1,,5886.561305498383,5888.0,4314.0,7392.0,2.0020195E7,407.03188972761905,19941.203175536608,17376.0,8302.0,56905.0,6.7820032E7,9152.903373192663,0.010813316259323523,0.3094219945240766,0.5700388150159581,1.582036560877777,-0.13366496196824457,-0.04753694953158692,47.678156844152106,23.205852399749933,1.4641432214311554,2.0545746832667904,3395.9999999999995,240.54338736252404,0.7375486979594436,0.9664200341491177,4.127713841329152
ID2654,2654,4,1700.0,374.81356429829714,343.38246232139363,0.0,6.0,6,23.282648822051915,1,,5988.986478542034,5976.0,4610.0,7410.0,1.0187266E7,379.53708079635066,25546.971193415637,22116.0,12731.0,56924.0,4.3455398E7,9668.18110290562,0.012632484882980865,0.39370057334051245,0.398798719546353,1.5066874337599243,-0.02720026615254161,0.01954992181460075,26.803899756620268,20.23389227496397,1.042481221360999,1.3247030967830926,1702.9999999999993,158.11090124674104,0.8560534533999485,0.9723094490436764,3.831373492360978
ID2673,2673,6,455.0,386.7585703865791,15.49124726477024,0.0,7.0,7,12.060995729457511,1,,6184.519650655022,6179.0,4787.0,7742.0,2832510.0,368.2270322985724,8095.628820960698,8140.0,4593.0,11734.0,3707798.0,1481.0456866078146,0.010345797431108989,0.34396498391100166,0.2801551277154931,2.3924788298414987,-0.046672663961367114,0.07051322303325681,15.656673283876462,9.543835028453222,-0.7600908194754303,1.6405012489422666,457.0,82.27942264429026,0.8482885263429466,0.9785867237687366,3.8488690517362385
ID2719,2719,6,768.0,375.46286701208976,18.859671848013818,0.0,8.0,8,15.67594437773643,1,,6154.5577172503245,6145.0,5127.0,7350.0,4745164.0,386.9999902372264,7673.133592736705,7679.0,5614.0,10254.0,5915986.0,839.962612989835,0.002613210359345146,0.08290044065868298,0.22022499020372488,3.297383675553343,0.0151040847410539,-0.021876463473086926,17.408971579865817,14.23882501393458,0.8426694886006652,1.2226410228954163,772.0,105.43758482055624,0.8726423096904369,0.9710691823899367,3.7947817137368927
ID2690,2690,7,247.0,239.6642905634759,92.21826205023761,0.0,7.0,7,8.839970421789916,1,,6074.582995951417,6051.0,5013.0,7105.0,1500422.0,445.84560221056347,7012.48987854251,6996.0,4773.0,9111.0,1732085.0,800.3303071275608,0.001140345029534941,0.03103868326541291,0.2074339538614864,3.010574931323694,0.014982190755533233,-0.055349989196994985,10.798384920111568,7.592398333619663,1.574313378802452,1.422262695609051,245.49999999999994,60.38954209255357,0.8459367401828713,0.9839679358717432,3.8542154530126553
ID2732,2732,7,338.0,226.06612184249627,98.35636453689945,0.0,8.0,8,10.349457797432944,1,,6055.794642857143,6046.0,5008.0,7204.0,2034747.0,384.359676198783,6724.190476190476,6688.0,5150.0,8773.0,2259328.0,692.7320771948548,-1.98069832058463E-6,-6.241407088002036E-5,0.186205795979946,3.0474589053043677,0.17137377398923404,-0.07811472543264565,17.686730185220288,6.123467012557088,2.9853308923176427,2.888352325398503,336.5,82.05697393986405,0.6280062098701918,0.9373259052924791,4.473247860946307
